Шаг	LFSR1	LFSR2	Выход
0	00000000000000000101101001010100	00000000000000000110110101010101	1
1	00000000000000000010110100101010	00000000000000000011111010101010	1
2	00000000000000000001011010010101	00000000000000000001111101010101	0
3	00000000000000000000101101001010	00000000000000000000111110101010	1
4	00000000000000000000010110100101	00000000000000000000011111010101	0
5	00000000000000000000001011010010	00000000000000000000101111101010	1
6	00000000000000001000000101101001	00000000000000000000010111110101	1
7	00000000000000001100000010110100	00000000000000000000101011111010	0
8	00000000000000001110000001011010	00000000000000000000010101111101	1
9	00000000000000000111000000101101	00000000000000000000101010111110	1
10	00000000000000001011100000010110	00000000000000000000010101011111	1
11	00000000000000000101110000001011	00000000000000000000101010101111	1
12	00000000000000001010111000000101	00000000000000000000110101010111	0
13	00000000000000001101011100000010	00000000000000000000111010101011	0
14	00000000000000000110101110000001	00000000000000000000111101010101	1
15	00000000000000000011010111000000	00000000000000000000111110101010	1
16	00000000000000001001101011100000	00000000000000000000011111010101	1
17	00000000000000001100110101110000	00000000000000000000101111101010	0
18	00000000000000000110011010111000	00000000000000000000010111110101	0
19	00000000000000001011001101011100	00000000000000000000101011111010	0
20	00000000000000000101100110101110	00000000000000000000010101111101	0
21	00000000000000001010110011010111	00000000000000000000101010111110	0
22	00000000000000000101011001101011	00000000000000000000010101011111	0
23	00000000000000001010101100110101	00000000000000000000101010101111	0
24	00000000000000001101010110011010	00000000000000000000110101010111	0
25	00000000000000001110101011001101	00000000000000000000111010101011	0
26	00000000000000000111010101100110	00000000000000000000111101010101	1
27	00000000000000000011101010110011	00000000000000000000111110101010	1
28	00000000000000000001110101011001	00000000000000000000011111010101	0
29	00000000000000001000111010101100	00000000000000000000101111101010	0
30	00000000000000001100011101010110	00000000000000000000010111110101	1
31	00000000000000000110001110101011	00000000000000000000101011111010	1
32	00000000000000000011000111010101	00000000000000000000010101111101	0
33	00000000000000000001100011101010	00000000000000000000101010111110	1
34	00000000000000001000110001110101	00000000000000000000010101011111	1
35	00000000000000001100011000111010	00000000000000000000101010101111	0
36	00000000000000000110001100011101	00000000000000000000110101010111	1
37	00000000000000001011000110001110	00000000000000000000111010101011	0
38	00000000000000001101100011000111	00000000000000000000111101010101	0
39	00000000000000000110110001100011	00000000000000000000111110101010	1
40	00000000000000001011011000110001	00000000000000000000011111010101	1
41	00000000000000001101101100011000	00000000000000000000101111101010	0
42	00000000000000000110110110001100	00000000000000000000010111110101	0
43	00000000000000001011011011000110	00000000000000000000101011111010	0
44	00000000000000001101101101100011	00000000000000000000010101111101	1
45	00000000000000001110110110110001	00000000000000000000101010111110	0
46	00000000000000000111011011011000	00000000000000000000010101011111	0
47	00000000000000001011101101101100	00000000000000000000101010101111	0
48	00000000000000000101110110110110	00000000000000000000110101010111	1
49	00000000000000001010111011011011	00000000000000000000111010101011	0
50	00000000000000000101011101101101	00000000000000000000111101010101	1
51	00000000000000001010101110110110	00000000000000000000111110101010	0
52	00000000000000001101010111011011	00000000000000000000011111010101	1
53	00000000000000000110101011101101	00000000000000000000101111101010	1
54	00000000000000000011010101110110	00000000000000000000010111110101	0
55	00000000000000000001101010111011	00000000000000000000101011111010	1
56	00000000000000000000110101011101	00000000000000000000010101111101	0
57	00000000000000001000011010101110	00000000000000000000101010111110	0
58	00000000000000001100001101010111	00000000000000000000010101011111	1
59	00000000000000001110000110101011	00000000000000000000101010101111	0
60	00000000000000000111000011010101	00000000000000000000110101010111	1
61	00000000000000000011100001101010	00000000000000000000111010101011	1
62	00000000000000000001110000110101	00000000000000000000111101010101	1
63	00000000000000001000111000011010	00000000000000000000111110101010	0
64	00000000000000000100011100001101	00000000000000000000011111010101	0
65	00000000000000001010001110000110	00000000000000000000101111101010	0
66	00000000000000001101000111000011	00000000000000000000010111110101	1
67	00000000000000000110100011100001	00000000000000000000101011111010	1
68	00000000000000000011010001110000	00000000000000000000010101111101	0
69	00000000000000000001101000111000	00000000000000000000101010111110	1
70	00000000000000000000110100011100	00000000000000000000010101011111	0
71	00000000000000000000011010001110	00000000000000000000101010101111	1
72	00000000000000001000001101000111	00000000000000000000110101010111	0
73	00000000000000001100000110100011	00000000000000000000111010101011	0
74	00000000000000000110000011010001	00000000000000000000111101010101	1
75	00000000000000000011000001101000	00000000000000000000111110101010	1
76	00000000000000000001100000110100	00000000000000000000011111010101	0
77	00000000000000000000110000011010	00000000000000000000101111101010	1
78	00000000000000000000011000001101	00000000000000000000010111110101	0
79	00000000000000001000001100000110	00000000000000000000101011111010	0
